date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:15	151678/151678	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2001%20Sep%202018%2001:58:35%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2017/05/Banner-khuyen-mai-thang-9-3x2.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2017/05/Banner-khuyen-mai-thang-9-3x2.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:05:16	52282/52282	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:05:15%20GMT	http://mitsubishisavico.com.vn/tin-tuc/mitsubishi-pajero-sport-phien-ban-diesel-8211-manh-me-chinh-phuc-dia-hinh-gia-chi-tu-1062-trieu-dong-m13457.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/mitsubishi-pajero-sport-phien-ban-diesel-8211-manh-me-chinh-phuc-dia-hinh-gia-chi-tu-1062-trieu-dong-m13457.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:05:53	269483/269483	---MCZ	200	added ('OK')	image/png	date:Thu,%2016%20Aug%202018%2005:50:00%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/Facebook-post.png	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/Facebook-post.png	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:05:54	39733/39733	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:05:53%20GMT	http://mitsubishisavico.com.vn/tin-tuc/mitsubishi-motors-viet-nam-khai-truong-trung-tam-dich-vu-8211-phu-tung-va-huan-luyen-m11278.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/mitsubishi-motors-viet-nam-khai-truong-trung-tam-dich-vu-8211-phu-tung-va-huan-luyen-m11278.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:05:56	240024/240024	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2016%20Aug%202018%2006:02:28%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/new-pajero-sport-2.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/new-pajero-sport-2.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:05:57	37493/37493	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:05:56%20GMT	http://mitsubishisavico.com.vn/tin-tuc/cac-chuong-trinh-trieu-hoi-sua-chua-mien-phi-xe-mitsubishi-m11203.html	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/cac-chuong-trinh-trieu-hoi-sua-chua-mien-phi-xe-mitsubishi-m11203.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:25	164970/164970	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2030%20Jul%202018%2009:20:36%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/07/Recall-news.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/07/Recall-news.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:27	41655/41655	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:25%20GMT	http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/?page=2	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/index4658.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:27	41632/41632	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202018%2007:06:27%20GMT	http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/?page=3	D:/HOC/WEB/mitsubishi/mitsubishi/mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/index9ba9.html	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
14:06:29	583431/583431	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2017%20Aug%202018%2001:06:35%20GMT	http://www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/1.jpg	D:/HOC/WEB/mitsubishi/mitsubishi/www.mitsubishi-motors.com.vn/w/wp-content/uploads/2018/08/1.jpg	(from http://mitsubishisavico.com.vn/tin-tuc/su-kien-noi-bat-c2/)
